png_date,png_file,report_date,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value,skip_reason
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,496.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(166, 858, 246, 884)",+496,observation already exists
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,-210.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(249, 858, 329, 884)",-210,observation already exists
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,-245.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(332, 858, 412, 884)",-245,observation already exists
2025-07-23,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-23.png,2025-07-22,2025-07-22,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,-6392.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(166, 801, 246, 827)","-6,392",observation already exists
2025-07-23,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-23.png,2025-07-22,2025-07-22,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,3860.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(249, 801, 329, 827)","+3,860",observation already exists
2025-07-23,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-23.png,2025-07-22,2025-07-22,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,2305.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(332, 801, 412, 827)","+2,305",observation already exists
2025-07-23,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-23.png,2025-07-22,2025-07-22,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,7023.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(166, 858, 246, 884)",+7023,observation already exists
2025-07-23,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-23.png,2025-07-22,2025-07-22,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,-6808.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(249, 858, 329, 884)","-6,808",observation already exists
2025-07-23,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-23.png,2025-07-22,2025-07-22,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,-177.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(332, 858, 412, 884)",-177,observation already exists
2025-07-24,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-24.png,2025-07-23,2025-07-23,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,3765.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(166, 801, 246, 827)","+3,765",observation already exists
2025-07-24,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-24.png,2025-07-23,2025-07-23,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,-3659.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(249, 801, 329, 827)","-3,659",observation already exists
2025-07-24,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-24.png,2025-07-23,2025-07-23,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,107.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(332, 801, 412, 827)",+107,observation already exists
2025-07-24,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-24.png,2025-07-23,2025-07-23,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,2138.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(166, 858, 246, 884)","+2,138",observation already exists
2025-07-24,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-24.png,2025-07-23,2025-07-23,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,-2207.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(249, 858, 329, 884)","-2,207",observation already exists
2025-07-24,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-24.png,2025-07-23,2025-07-23,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,64.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-24.png:(332, 858, 412, 884)",+64,observation already exists
2025-07-25,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-25.png,2025-07-24,2025-07-24,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,-2221.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(166, 801, 246, 827)","-2,221",observation already exists
2025-07-25,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-25.png,2025-07-24,2025-07-24,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,189.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(249, 801, 329, 827)",+189,observation already exists
2025-07-25,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-25.png,2025-07-24,2025-07-24,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,99.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(332, 801, 412, 827)",+99,observation already exists
2025-07-25,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-25.png,2025-07-24,2025-07-24,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,-4394.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(166, 858, 246, 884)","-4,394",observation already exists
2025-07-25,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-25.png,2025-07-24,2025-07-24,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,4150.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(249, 858, 329, 884)",+4150,observation already exists
2025-07-25,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-25.png,2025-07-24,2025-07-24,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,162.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(332, 858, 412, 884)",+162,observation already exists
2025-07-28,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-28.png,2025-07-25,2025-07-25,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,5725.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(166, 801, 246, 827)",+5725,observation already exists
2025-07-28,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-28.png,2025-07-25,2025-07-25,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,-3787.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(249, 801, 329, 827)","-3,787",observation already exists
2025-07-28,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-28.png,2025-07-25,2025-07-25,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,-30.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(332, 801, 412, 827)","-, 30",observation already exists
2025-07-28,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-28.png,2025-07-25,2025-07-25,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,-525.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(166, 858, 246, 884)",-525,observation already exists
2025-07-28,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-28.png,2025-07-25,2025-07-25,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,558.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(249, 858, 329, 884)",+558,observation already exists
2025-07-28,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-28.png,2025-07-25,2025-07-25,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,-19.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(332, 858, 412, 884)",-19,observation already exists
2025-07-29,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-29.png,2025-07-28,2025-07-28,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,-1151.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(166, 801, 246, 827)","-1,151",observation already exists
2025-07-29,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-29.png,2025-07-28,2025-07-28,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,2452.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(249, 801, 329, 827)","+2,452",observation already exists
2025-07-29,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-29.png,2025-07-28,2025-07-28,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,526.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(332, 801, 412, 827)",+526,observation already exists
2025-07-29,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-29.png,2025-07-28,2025-07-28,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,4088.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(166, 858, 246, 884)","+4,088",observation already exists
2025-07-29,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-29.png,2025-07-28,2025-07-28,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,-3637.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(249, 858, 329, 884)","-3,637",observation already exists
2025-07-29,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-29.png,2025-07-28,2025-07-28,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,-291.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(332, 858, 412, 884)",-291,observation already exists
2025-07-30,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-30.png,2025-07-29,2025-07-29,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,10549.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-30.png:(166, 801, 246, 827)","+10,549",observation already exists
2025-07-30,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-30.png,2025-07-29,2025-07-29,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,-7790.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-30.png:(249, 801, 329, 827)","-7,790",observation already exists
2025-07-30,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-30.png,2025-07-29,2025-07-29,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,-1968.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-30.png:(332, 801, 412, 827)","-1,968",observation already exists
2025-07-30,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-30.png,2025-07-29,2025-07-29,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,1547.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-30.png:(166, 858, 246, 884)","+1,547",observation already exists
2025-07-30,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-30.png,2025-07-29,2025-07-29,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,-1354.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-30.png:(249, 858, 329, 884)","-1,354",observation already exists
2025-07-30,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-30.png,2025-07-29,2025-07-29,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,-187.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-30.png:(332, 858, 412, 884)",-187,observation already exists
2025-07-31,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-31.png,2025-07-30,2025-07-30,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,4316.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-31.png:(166, 801, 246, 827)",+4316,observation already exists
2025-07-31,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-31.png,2025-07-30,2025-07-30,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,-5398.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-31.png:(249, 801, 329, 827)","-5,398",observation already exists
2025-07-31,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-31.png,2025-07-30,2025-07-30,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,1324.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-31.png:(332, 801, 412, 827)","+1,324",observation already exists
2025-07-31,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-31.png,2025-07-30,2025-07-30,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,967.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-31.png:(166, 858, 246, 884)",+967,observation already exists
2025-07-31,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-31.png,2025-07-30,2025-07-30,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,-863.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-31.png:(249, 858, 329, 884)",-863,observation already exists
2025-07-31,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-31.png,2025-07-30,2025-07-30,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,-92.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-31.png:(332, 858, 412, 884)",-92,observation already exists
2025-08-01,C:\Users\infomax\Desktop\Market Daily\2507\2025-08-01.png,2025-07-31,2025-07-31,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,-8876.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-08-01.png:(166, 801, 246, 827)","-8,876",observation already exists
2025-08-01,C:\Users\infomax\Desktop\Market Daily\2507\2025-08-01.png,2025-07-31,2025-07-31,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,5554.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-08-01.png:(249, 801, 329, 827)","+5,554",observation already exists
