report_id,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value
6eeb8f64-5fe6-4c75-995b-a26d906d9eb6,2025-07-17,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,592.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(332, 773, 412, 799)",+592
6eeb8f64-5fe6-4c75-995b-a26d906d9eb6,2025-07-17,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,-8980.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(166, 830, 246, 856)","-8,980"
6eeb8f64-5fe6-4c75-995b-a26d906d9eb6,2025-07-17,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,9089.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(249, 830, 329, 856)","+9,089"
6eeb8f64-5fe6-4c75-995b-a26d906d9eb6,2025-07-17,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,-134.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(332, 830, 412, 856)",-134
b0ea5613-567d-499a-8637-09ca4718dcdc,2025-07-18,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,1878.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(166, 745, 246, 771)","+1,878"
b0ea5613-567d-499a-8637-09ca4718dcdc,2025-07-18,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,320.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(249, 745, 329, 771)",+320
b0ea5613-567d-499a-8637-09ca4718dcdc,2025-07-18,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,-3411.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(332, 745, 412, 771)","-3,411"
b0ea5613-567d-499a-8637-09ca4718dcdc,2025-07-18,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,420.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(166, 773, 246, 799)",+420
b0ea5613-567d-499a-8637-09ca4718dcdc,2025-07-18,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,323.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(249, 773, 329, 799)",+323
b0ea5613-567d-499a-8637-09ca4718dcdc,2025-07-18,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,-739.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(332, 773, 412, 799)",-739
b0ea5613-567d-499a-8637-09ca4718dcdc,2025-07-18,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,-4012.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(166, 830, 246, 856)","-4,012"
b0ea5613-567d-499a-8637-09ca4718dcdc,2025-07-18,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,3876.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(249, 830, 329, 856)","+3,876"
b0ea5613-567d-499a-8637-09ca4718dcdc,2025-07-18,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,109.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(332, 830, 412, 856)",+109
43d06a96-e089-4fec-9167-3513c267079e,2025-07-21,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,8935.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(166, 745, 246, 771)","+8,935"
43d06a96-e089-4fec-9167-3513c267079e,2025-07-21,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,994.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(249, 745, 329, 771)",+994
43d06a96-e089-4fec-9167-3513c267079e,2025-07-21,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,-10578.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(332, 745, 412, 771)","-10,578"
43d06a96-e089-4fec-9167-3513c267079e,2025-07-21,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,-191.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(166, 773, 246, 799)",-191
43d06a96-e089-4fec-9167-3513c267079e,2025-07-21,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,112.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(249, 773, 329, 799)",+112
43d06a96-e089-4fec-9167-3513c267079e,2025-07-21,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,100.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(332, 773, 412, 799)",+100
43d06a96-e089-4fec-9167-3513c267079e,2025-07-21,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,12715.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(166, 830, 246, 856)","+12,715"
43d06a96-e089-4fec-9167-3513c267079e,2025-07-21,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,-12449.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(249, 830, 329, 856)","-12,449"
43d06a96-e089-4fec-9167-3513c267079e,2025-07-21,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,-224.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(332, 830, 412, 856)",-224
d4e140ca-82a1-45a1-8f29-5c9e74b68074,2025-07-22,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,-1288.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(166, 745, 246, 771)","-1,288"
d4e140ca-82a1-45a1-8f29-5c9e74b68074,2025-07-22,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,-4128.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(249, 745, 329, 771)","-4,128"
d4e140ca-82a1-45a1-8f29-5c9e74b68074,2025-07-22,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,4781.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(332, 745, 412, 771)","+4,781"
d4e140ca-82a1-45a1-8f29-5c9e74b68074,2025-07-22,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,-412.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(166, 773, 246, 799)",-412
d4e140ca-82a1-45a1-8f29-5c9e74b68074,2025-07-22,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,-1423.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(249, 773, 329, 799)","-1,423"
d4e140ca-82a1-45a1-8f29-5c9e74b68074,2025-07-22,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,1822.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(332, 773, 412, 799)","+1,822"
d4e140ca-82a1-45a1-8f29-5c9e74b68074,2025-07-22,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,500.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(166, 830, 246, 856)",+500
d4e140ca-82a1-45a1-8f29-5c9e74b68074,2025-07-22,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,-525.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-23.png:(249, 830, 329, 856)",-525
