png_date,png_file,report_date,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,555.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(166, 745, 246, 771)",+555
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,-5525.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(249, 745, 329, 771)","-5,525"
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,4016.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(332, 745, 412, 771)",+4016
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,-312.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(166, 773, 246, 799)",-312
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,-633.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(249, 773, 329, 799)",-633
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,1533.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(332, 773, 412, 799)","+1,533"
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,-284.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(166, 801, 246, 827)","-,284"
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,6026.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(249, 801, 329, 827)","+6,026"
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,1346.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(332, 801, 412, 827)","+1,346"
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,281.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(166, 830, 246, 856)",+281
